,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
26539,ELEC,Smyrna Readiness Center,210 Artisan Drive,,Smyrna,DE,19977,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.2814691,-75.6221863,3/17/2022,170940,2022-03-17 00:22:38 UTC,,,,1/6/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
26766,ELEC,Wawa - Tesla Supercharger,30155 Veterans Way,,Rehoboth,DE,19971,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,38.712616,-75.103793,10/11/2021,171469,2021-11-04 18:37:47 UTC,P,,,1/4/2021,,,,,TESLA,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
26842,ELEC,ROYAL FARMS RFS 158 DC #1,20579 DuPont Blvd,,Georgetown,DE,19947,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.699191,-75.400527,3/17/2022,171573,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
27026,ELEC,REHOBOTH REH 2 EV2,19744-19798 DE-1,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.715639,-75.109891,3/17/2022,171835,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
27123,ELEC,REHOBOTH REH 3 EV 2,36461 Seaside Outlet Dr,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.718437,-75.112636,3/17/2022,171950,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
27124,ELEC,REHOBOTH REH 1 EV 2,34980 Midway Outlet Dr,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.734782,-75.139228,3/17/2022,171951,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
27250,ELEC,ROYAL FARMS RFS 139 DC #2,6 W Lebanon Rd,,Dover,DE,19901,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.117777,-75.516134,3/17/2022,172097,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
27387,ELEC,ROYAL FARMS RFS 171 DC #1,11112 Laurel Road,,Laurel,DE,19956,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.554796,-75.555058,3/17/2022,172257,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
27481,ELEC,ROYAL FARMS RFS 142 DC #2,108 Silicato Parkway,,Milford,DE,19963,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.927238,-75.417969,3/17/2022,172369,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
27601,ELEC,ROYAL FARMS RFS 146 DC #1,304 N DuPont Blvd,,Smyrna,DE,19977,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.306624,-75.606253,3/17/2022,172515,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
34927,ELEC,ABESSINIO LLC STADIUM #1,1 St Rocco Way,,Wilmington,DE,19802,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.760418,-75.553153,3/17/2022,181749,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
34928,ELEC,ABESSINIO LLC STADIUM #2,1 St Rocco Way,,Wilmington,DE,19802,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.760344,-75.553159,3/17/2022,181750,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
36043,ELEC,ROMMEL SMYRNA,450 Stadium St,,Smyrna,DE,19977,,888-758-4389,E,,Public,Mon 10:00am - 7:00pm; Tue 10:00am - 7:00pm; Wed 10:00am - 7:00pm; Thu 10:00am - 7:00pm; Fri 10:00am - 7:00pm; Sat 10:00am - 7:00pm; Sun 10:00am - 7:00pm,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.278042,-75.587482,3/17/2022,183094,2022-03-17 00:32:36 UTC,,,,1/27/2021,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
36948,ELEC,SEMAConnect,163 Scannell Blvd,,Bethany Beach,DE,19930,,,E,,Private,,,,,,,2.0,,,Non-Networked,,GPS,38.546051,-75.060909,2/22/2021,184408,2021-08-04 00:01:52 UTC,FG,6.0,Department of Army,1/15/2021,,,,,J1772,US,,,,Privé,,private,,DA,FED_GOV,,,,,,,,,,,,,,,,,
36949,ELEC,SEMAConnect,1 Vavala Way,,New Castle,DE,19720,,,E,,Private,,,,,,,2.0,,,Non-Networked,,GPS,39.683249,-75.617612,2/22/2021,184409,2021-08-04 00:01:52 UTC,FG,6.0,Department of Army,1/15/2021,,,,,J1772,US,,,,Privé,,private,,DA,FED_GOV,,,,,,,,,,,,,,,,,
37841,ELEC,Beach Plum Dunes,36916 Crooked Hammock Way,,Lewes,DE,19958,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.7452862,-75.1493848,3/17/2022,185561,2022-03-17 00:22:38 UTC,,,,3/5/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$2.00/Hr Parking Fee,,,,,,,,,,
37972,ELEC,Lutheran Church of Our Savior,20276 Bay Vista Road,,Rehoboth Beach,DE,19971,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.709294,-75.0977516,3/17/2022,186103,2022-03-17 00:22:38 UTC,,,,3/12/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"$1.00/Hr Parking Fee , $0.20/kWh Energy Fee",,,,,,,,,,
38944,ELEC,Wawa - Tesla Supercharger,5018 Summit Bridge Road,,Middletown,DE,19709,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,39.479708,-75.720734,10/11/2021,187960,2021-11-04 18:37:47 UTC,P,,,4/19/2021,,,,,TESLA,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
39154,ELEC,WILMINGTON HOSP LEVEL 2 UNIT 1,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750062,-75.550017,3/17/2022,189067,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39155,ELEC,WILMINGTON HOSP LEVEL 3 UNIT 2,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750195,-75.549941,3/17/2022,189068,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39156,ELEC,WILMINGTON HOSP LEVEL 4 UNIT 1,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750132,-75.550067,3/17/2022,189069,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39157,ELEC,WILMINGTON HOSP LEVEL 3 UNIT 3,Washington St @ 13th St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750097,-75.550194,3/17/2022,189070,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39158,ELEC,WILMINGTON HOSP LEVEL 6 UNIT 1,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750106,-75.550145,3/17/2022,189072,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39159,ELEC,WILMINGTON HOSP LEVEL 6 UNIT 2,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750097,-75.550046,3/17/2022,189073,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39160,ELEC,WILMINGTON HOSP LEVEL 3 UNIT 1,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750208,-75.550117,3/17/2022,189074,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39161,ELEC,WILMINGTON HOSP LEVEL 5 UNIT 2,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750072,-75.55009,3/17/2022,189075,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39162,ELEC,WILMINGTON HOSP LEVEL 5 UNIT 1,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750184,-75.550231,3/17/2022,189076,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39163,ELEC,WILMINGTON HOSP LEVEL 5 UNIT 3,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750203,-75.5501,3/17/2022,189077,2022-03-17 00:32:36 UTC,,,,4/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39635,ELEC,DE TRANSIT CORP 2CC STATION 2,101 West St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.738536,-75.557733,3/17/2022,189765,2022-03-17 00:32:36 UTC,,,,5/18/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39636,ELEC,DE TRANSIT CORP 2CC STATION 1,101 West St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.738454,-75.55765,3/17/2022,189766,2022-03-17 00:32:36 UTC,,,,5/18/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39674,ELEC,DE TRANSIT CORP LEWES TRANSIT 1,17644 Coastal Hwy,,Lewes,DE,19958,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.747838,-75.169207,3/17/2022,189819,2022-03-17 00:32:36 UTC,,,,5/20/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
39675,ELEC,DE TRANSIT CORP NEWARK RAIL,468 S College Ave,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.669728,-75.753251,3/17/2022,189820,2022-03-17 00:32:36 UTC,,,,5/20/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40166,ELEC,DE TRANSIT CORP LEWES TRANSIT 2,17644 Coastal Hwy,,Lewes,DE,19958,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.747845,-75.16918,3/17/2022,190783,2022-03-17 00:32:36 UTC,,,,6/8/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40169,ELEC,DE TRANSIT CORP NEWARK RAIL 3,468 S College Ave,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.669657,-75.753234,3/17/2022,190786,2022-03-17 00:32:36 UTC,,,,6/8/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40170,ELEC,DE TRANSIT CORP NEWARK RAIL 4,468 S College Ave,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.669532,-75.753194,3/17/2022,190787,2022-03-17 00:32:36 UTC,,,,6/8/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40171,ELEC,DE TRANSIT CORP NEWARK RAIL 5,468 S College Ave,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.669536,-75.753155,3/17/2022,190788,2022-03-17 00:32:36 UTC,,,,6/8/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40172,ELEC,DE TRANSIT CORP NEWARK RAIL 2,468 S College Ave,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.669665,-75.753186,3/17/2022,190789,2022-03-17 00:32:36 UTC,,,,6/8/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40271,ELEC,DE TRANSIT CORP RPD 2,100 South French St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.73692,-75.55211,3/17/2022,190921,2022-03-17 00:32:36 UTC,,,,6/12/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40329,ELEC,CONVENT CENTER CONVENTION #2,123 2nd St,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.716843,-75.08242,3/17/2022,191034,2022-03-17 00:32:36 UTC,,,,6/16/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40330,ELEC,CONVENT CENTER CONVENTION #1,105 2nd St,,Rehoboth Beach,DE,19971,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.716904,-75.082466,3/17/2022,191035,2022-03-17 00:32:36 UTC,,,,6/16/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
40499,ELEC,0055-27W3RD#6LOC,27 West 3rd Street,,New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6589839,-75.564986,3/17/2022,191336,2022-03-17 00:22:38 UTC,,,,6/23/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.30/kWh Energy Fee,,,,,,,,,,
40503,ELEC,Sandpiper Plaza,18949 Coastal Highway,,Rehoboth Beach,DE,19971,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.7308284,-75.1316891,3/17/2022,191341,2022-03-17 00:22:38 UTC,,,,6/23/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$2.00/Hr Parking Fee,,,,,,,,,,
41184,ELEC,DE TRANSIT CORP RPD 1,100 South French St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.736901,-75.552094,3/17/2022,193100,2022-03-17 00:32:36 UTC,,,,7/23/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
41185,ELEC,DE TRANSIT CORP MILFORD PNR 2,DE-1,,Milford,DE,19963,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.991536,-75.44968,3/17/2022,193101,2022-03-17 00:32:36 UTC,,,,7/23/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
41186,ELEC,DE TRANSIT CORP MILFORD PNR 1,DE-1,,Milford,DE,19963,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.991578,-75.449733,3/17/2022,193102,2022-03-17 00:32:36 UTC,,,,7/23/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
42073,ELEC,Christiana Mall - Cheesecake Factory,132 Christiana Mall,,Christiana,DE,19702,,,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,1.0,,Volta,https://voltacharging.com/,GPS,39.67913115,-75.65083685,9/10/2021,194538,2022-02-10 19:42:29 UTC,P,,,8/26/2021,,,,,J1772COMBO,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SHOPPING_MALL,,,,,,,FREE for first 30 minutes,,,,,,,,,,
42547,ELEC,Biden NG/RC,1 Vavala Way,"ATTN USERS:
This is a secure facility.  These stations are only available to staff, fleet, or approved visitors.  This station is not open to the general public.",New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.68322968,-75.61769485,3/17/2022,195179,2022-03-17 00:22:38 UTC,,,,9/5/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
42666,ELEC,Delaware Army Aviation Support Facility,33 Corporate Circle,,New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6827039,-75.6156265,3/17/2022,195332,2022-03-17 00:22:38 UTC,,,,9/6/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
42760,ELEC,5600 Concord,5600 Concord Pike,,Wilmington,DE,19803,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.8344052,-75.5435914,3/17/2022,195442,2022-03-17 00:22:38 UTC,,,,9/7/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.00-$2.00/Hr Variable Parking Fee,,,,,,,,,,
42761,ELEC,Brandywine Hundred Library,1300 Foulk Road,,Wilmington,DE,19803,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.7955835,-75.5244855,3/17/2022,195443,2022-03-17 00:22:38 UTC,,,,9/7/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
42778,ELEC,The Avenue Inn,33 Wilmington Avenue,,Rehoboth Beach,DE,19971,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.7158098,-75.0793025,3/17/2022,195465,2022-03-17 00:22:38 UTC,,,,9/7/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
42893,ELEC,0055-27W3RD#5LOC,27 West 3rd Street,,New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6589839,-75.564986,3/17/2022,195587,2022-03-17 00:22:38 UTC,,,,9/8/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.30/kWh Energy Fee,,,,,,,,,,
43541,ELEC,WILMINGTON HOSP LEVEL 4 UNIT 3,1200 Washington St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.750193,-75.550063,3/17/2022,196486,2022-03-17 00:32:36 UTC,,,,9/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
43563,ELEC,Wawa - Tesla Supercharger,4000 North Dupont Highway,,New Castle,DE,19720,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,39.70988,-75.56193,10/11/2021,196520,2021-11-04 18:37:47 UTC,P,,,9/25/2021,,,,,TESLA,US,,,,Public,,public,,,GAS_STATION,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
43677,ELEC,Wilmington,,,Wilmington,DE,19802,,,E,,Private - Government only,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,3.0,,,,Non-Networked,,GPS,39.744655,-75.548391,10/12/2021,196751,2022-02-10 21:00:18 UTC,FG,13.0,Department of Labor,9/21/2021,,,,,NEMA1450,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DOL,FED_GOV,,,,,,,,,,,,,,,,,
45284,ELEC,CITY OF NEWARK CH STATION 2,264 S Main St,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.677188,-75.763945,3/17/2022,199163,2022-03-17 00:32:36 UTC,,,,10/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
45483,ELEC,0063-27W3RD#4LOC,27 West 3rd Street,,New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6589839,-75.564986,3/17/2022,199402,2022-03-17 00:22:38 UTC,,,,10/29/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.30/kWh Energy Fee,,,,,,,,,,
45522,ELEC,0063-27W3RD#3LOC,27 West 3rd Street,,New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6589839,-75.564986,3/17/2022,199469,2022-03-17 00:22:38 UTC,,,,10/30/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.30/kWh Energy Fee,,,,,,,,,,
45586,ELEC,CITY OF NEWARK LOT 1 STATION 1,54 E Delaware Ave,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.682557,-75.751242,3/17/2022,200415,2022-03-17 00:32:36 UTC,,,,11/2/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
45770,ELEC,CITY OF NEWARK CH STATION 1,250 Elkton Rd,,Newark,DE,19711,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.67718,-75.764115,3/17/2022,200738,2022-03-17 00:32:36 UTC,,,,11/9/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
45849,ELEC,DTCC OWENS STATION 1,21583-21619 Vaughn Rd,,Georgetown,DE,19947,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.694812,-75.412253,3/17/2022,200977,2022-03-17 00:32:36 UTC,,,,11/11/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
45958,ELEC,DEC EMPLOYEE DEC VISITOR,14198 Sussex Hwy,,Greenwood,DE,19950,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.791154,-75.591795,3/17/2022,201168,2022-03-17 00:32:36 UTC,,,,11/16/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
